Data da venda;Unidades;Faturamento;Venda por publicidade;SKU;Título do anúncio;Variação;Preço unitário de venda do anúncio (BRL);Tipo de anúncio;Cidade;Estado;Forma de entrega
06/10/2024;1;160,19;Não;EKAT-T3075-4P;Interruptor 4x4 4 Botões Wi-fi Com 2 Tomdas Cor Preto Ekaza 110v/220v; ;160,19;Clássico;São Paulo;São Paulo;Correios e pontos de envio
06/10/2024;1;124,59;Sim;EKJS-T3188;Câmera De Segurança Wifi Inteligente Tuya Alexa Full Hd Ekaza Colorida A Noite; ;124,59;Clássico;Belo Horizonte;Minas Gerais;Correios e pontos de envio
06/10/2024;2;88,84;Sim;EKNH-T106;Ekaza Interruptor Módulo On Off Inteligente Wifi 10a Alexa;Cor : Branco | Especificação : 10A WiFi | Voltagem : 127/220V;44,42;Clássico;São Paulo;São Paulo;Mercado Envios Flex
06/10/2024;1;124,59;Sim;EKJS-T3188;Câmera De Segurança Wifi Inteligente Tuya Alexa Full Hd Ekaza Colorida A Noite; ;124,59;Clássico;Brasília;Distrito Federal;Correios e pontos de envio
06/10/2024;2;90;Não;EKHM-T262-E27;Ekaza Lâmpada Led Inteligente 15w+4w Rgb Controle Via App;Cor da luz : Branco | Voltagem : 127/220V;45;Clássico;Santo André;São Paulo;Mercado Envios Flex
05/10/2024;6;839,94;Sim;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;139,99;Clássico;Uberaba;Minas Gerais;Correios e pontos de envio
05/10/2024;1;49;Não;EKNX-T005;Tomada Inteligente Ekaza 16a Smart Home Alexa/google; ;49;Clássico;São Paulo;São Paulo;Mercado Envios Flex
05/10/2024;1;119;Sim;EKTL-T407-3P;Ekaza Interruptor Inteligente Vênus Soft Touch 3 Botões Wifi;Cor : Preto | Interruptor : 3 Botões | Voltagem : 127/220V;119;Clássico; ;Rondonia;Correios e pontos de envio
05/10/2024;1;49,92;Sim;EKNH-T106;Ekaza Interruptor Módulo On Off Inteligente Wifi 10a Alexa;Cor : Branco | Especificação : 10A WiFi | Voltagem : 127/220V;49,92;Clássico; ;Rondonia;Correios e pontos de envio
05/10/2024;2;99,84;Não;EKNH-T106;Ekaza Interruptor Módulo On Off Inteligente Wifi 10a Alexa;Cor : Branco | Especificação : 10A WiFi | Voltagem : 127/220V;49,92;Clássico;Vargem Grande Paulista;São Paulo;Correios e pontos de envio
05/10/2024;2;368;Sim;EKAT-T3074-4P;Ekaza Interruptor Inteligente Wifi 4x4 4 Botões Alexa Google;Cor : Preto | Interruptor : 4 Botões | Voltagem : 127/220V;184;Clássico;Itapetininga;São Paulo;Correios e pontos de envio
04/10/2024;1;184;Não;EKAT-T3074-4P;Ekaza Interruptor Inteligente Wifi 4x4 4 Botões Alexa Google;Cor : Preto | Interruptor : 4 Botões | Voltagem : 127/220V;184;Clássico;São João de Meriti;Rio de Janeiro;Correios e pontos de envio
04/10/2024;1;250;Não;EKAT-T3075-4P;Ekaza Interruptor Wifi Inteligente 4 Botões 4x4 C/tomada;Cor : Preto | Tomada : Tomada 16A | Voltagem : 127/220V;250;Clássico; ;Amazonas;Correios e pontos de envio
04/10/2024;5;184;Não;EKAT-T3074-4P;Ekaza Interruptor Inteligente Wifi 4x4 4 Botões Alexa Google;Cor : Preto | Interruptor : 4 Botões | Voltagem : 127/220V;184;Clássico; ;Amazonas;Correios e pontos de envio
04/10/2024;1;137,5;Não;EKAT-T307-4ZP;Ekaza Interruptor 2.5d Inteligente 4 Botões Zigbee Alexa;Cor : Preto | Interruptor : 4 Botões | Voltagem : 127/220V;137,5;Clássico; ;Amazonas;Correios e pontos de envio
04/10/2024;1;49;Não;EKNX-T005;Tomada Inteligente Ekaza 16a Smart Home Alexa/google; ;49;Clássico;São Paulo;São Paulo;Mercado Envios Flex
04/10/2024;1;49;Não;EKNX-T005;Tomada Inteligente Ekaza 16a Smart Home Alexa/google; ;49;Clássico;São Paulo;São Paulo;Mercado Envios Flex
04/10/2024;1;184;Sim;EKAT-T3074-4P;Ekaza Interruptor Inteligente Wifi 4x4 4 Botões Alexa Google;Cor : Preto | Interruptor : 4 Botões | Voltagem : 127/220V;184;Clássico;Guarulhos;São Paulo;Correios e pontos de envio
04/10/2024;1;19,2;Não;EK-C3604;Ekaza Conexão Curva Trilho Sobrepor Ultrafino Horizontal;Cor : Preto | Orientação : Horizontal | Voltagem : DC 48V;19,2;Clássico; ;Paraná;Correios e pontos de envio
04/10/2024;1;146,2;Não;EK-C3600-100W;Ekaza Fonte Interna Para Trilhos Magnéticos 48v 100w;Cor : Preto;146,2;Clássico; ;Paraná;Correios e pontos de envio
04/10/2024;1;156;Não;EKGC-T3562-3;Ekaza Luminária Geral Difusa 10w Inteligente 31,5cm Zigbee;Cor : Preto | Tamanho : 31,5cm | Voltagem : DC 48V;156;Clássico; ;Paraná;Correios e pontos de envio
04/10/2024;5;38,8;Não;EK-C3561-1;Ekaza Trilho Magnético Sobrepor Ultrafino 6mm 1 Metro;Cor : Preto | Tamanho : 1 Metro | Voltagem : DC 48V;38,8;Clássico; ;Paraná;Correios e pontos de envio
04/10/2024;1;16,8;Não;EK-C3606;Ekaza Conexão Trilho Sobrepor Ultrafino Horizontal;Cor : Preto | Orientação : Horizontal | Voltagem : DC 48V;16,8;Clássico; ;Paraná;Correios e pontos de envio
03/10/2024;2;99,84;Não;EKNH-T106;Ekaza Interruptor Módulo On Off Inteligente Wifi 10a Alexa;Cor : Branco | Especificação : 10A WiFi | Voltagem : 127/220V;49,92;Clássico;São Paulo;São Paulo;Mercado Envios Flex
02/10/2024;2;156;Não;7908228402176;Interruptor  Ekaza Ekat-t307-2w 2 Botões  10a  110v/220v -  Branco; ;78;Clássico;Belo Horizonte;Minas Gerais;Correios e pontos de envio
02/10/2024;1;56;Não;EKHM-T313C;Ekaza Controlador Inteligente Wifi Rgb P/ Fita De Led Alexa;Conexão : WiFi | Cor da luz : RGB | Tensão de operação : 12V | Voltagem : 127/220V;56;Clássico;Guarulhos;São Paulo;Mercado Envios Flex
02/10/2024;1;139,99;Não;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;139,99;Clássico;Joinville;Santa Catarina;Correios e pontos de envio
02/10/2024;1;172;Não;EKHM-T2024SR;Ekaza Painel Led Inteligente Wifi 24w Rgb Sobrepor Redondo;Aplicação : Sobrepor | Cor : Branco | Voltagem : 110V/220V;172;Clássico;São Paulo;São Paulo;Mercado Envios Flex
02/10/2024;3;264;Não;EKHM-T3901-CCT;Ekaza Controladora Inteligente Wifi Para Fita Led Cct Ww;Cor da luz : Branco Frio + Branco Quente;88;Clássico;Gandu;Bahia;Correios e pontos de envio
01/10/2024;1;139,99;Sim;EKJS-T3188;Ekaza Câmera De Segurança Nuvem Dome Wi-fi Uhd 2k E Ip65;Conexão : WiFi | Cor : Branco;139,99;Clássico;Vila Velha;Espírito Santo;Correios e pontos de envio
30/09/2024;4;200;Não;FSL020;Ekaza Filtro De Reposição Para Bebedouro Mini Fresco;Cor : Branco;50;Clássico;Caieiras;São Paulo;Correios e pontos de envio
